city,days,avg_tmax,avg_tmin,avg_tavg,pct_hot_days
Athens,30,35.626666666666665,25.029999999999998,30.328333333333333,100.0
Copenhagen,30,23.646666666666665,17.12,20.383333333333333,0.0
Fort Lauderdale,30,33.38666666666667,25.573333333333334,29.48,93.3
Miami,30,32.373333333333335,25.53666666666667,28.955,93.3
Oslo,30,26.57,18.84333333333333,22.706666666666667,26.7
San Antonio,30,36.92666666666666,24.776666666666664,30.851666666666667,100.0
